(from GFF),,,
gene.name,gene.ID,B2Gname,rnaID
sigmar1,gene304,rna569_gene_sigmar1,rna569
katnal2,gene305,rna570_gene_katnal2,rna570
hdhd2,gene306,rna572_gene_hdhd2,rna572
ier3ip1,gene307,rna575_gene_ier3ip1,rna575
skor2,gene308,rna576_gene_skor2,rna576
LOC106913961,gene309,NA,NA
smad2,gene310,rna578_gene_smad2,rna578
LOC106913989,gene311,rna582_gene_LOC106913989,rna582
LOC106913872,gene312,rna583_gene_LOC106913872,rna583
LOC106913874,gene313,NA,NA
epha5,gene314,rna584_gene_epha5,rna584
LOC106913882,gene315,NA,NA
LOC106914018,gene316,NA,NA
LOC106914001,gene317,rna588_gene_LOC106914001,rna588
LOC106914012,gene318,rna589_gene_LOC106914012,rna589
plppr1,gene319,rna590_gene_plppr1,rna590
LOC106914036,gene320,rna594_gene_LOC106914036,rna594
snx30,gene321,rna600_gene_snx30,rna600
slc46a2,gene322,rna599_gene_slc46a2,rna599
LOC106914046,gene323,rna601_gene_LOC106914046,rna601
inip,gene324,rna603_gene_inip,rna603
LOC106914024,gene325,rna605_gene_LOC106914024,rna605
LOC106914123,gene326,NA,NA
LOC106914111,gene327,rna608_gene_LOC106914111,rna608
LOC106914116,gene328,rna609_gene_LOC106914116,rna609
LOC106914130,gene329,rna610_gene_LOC106914130,rna610
LOC106914136,gene330,rna611_gene_LOC106914136,rna611
LOC106914165,gene331,NA,NA
LOC106914194,gene332,NA,NA
maml2,gene333,rna620_gene_maml2,rna620
gab2,gene334,rna621_gene_gab2,rna621
nars2,gene335,rna622_gene_nars2,rna622
tenm4,gene336,rna632_gene_tenm4,rna632
LOC106914170,gene337,NA,NA
LOC106914177,gene338,NA,NA
fam181b,gene339,rna639_gene_fam181b,rna639
prcp,gene340,rna640_gene_prcp,rna640
rab30,gene341,rna641_gene_rab30,rna641
LOC106914364,gene342,rna642_gene_LOC106914364,rna642
LOC106914304,gene343,rna643_gene_LOC106914304,rna643
LOC106914353,gene344,rna644_gene_LOC106914353,rna644
LOC106914346,gene345,rna645_gene_LOC106914346,rna645
LOC106914340,gene346,rna646_gene_LOC106914340,rna646
LOC106914326,gene347,rna647_gene_LOC106914326,rna647
trnai-aau,gene348,NA,NA
rcsd1,gene349,rna650_gene_rcsd1,rna650
LOC106914372,gene350,rna652_gene_LOC106914372,rna652
fndc3a,gene351,rna656_gene_fndc3a,rna656
LOC106914402,gene352,rna657_gene_LOC106914402,rna657
LOC106914412,gene353,rna659_gene_LOC106914412,rna659
nek3,gene354,rna660_gene_nek3,rna660
lhfp,gene355,rna664_gene_lhfp,rna664
